repo,instance_id,difficulty,rnd,rn_in_repo,rn_diff
django/django,django__django-15569,<15 min fix,0.002034070674819183,1,1
pallets/flask,pallets__flask-5014,<15 min fix,0.010044883083857613,1,2
matplotlib/matplotlib,matplotlib__matplotlib-24149,<15 min fix,0.010877105383232957,1,3
sympy/sympy,sympy__sympy-15809,<15 min fix,0.03907530488095681,1,4
pydata/xarray,pydata__xarray-4629,<15 min fix,0.06960804964435642,1,5
sphinx-doc/sphinx,sphinx-doc__sphinx-9258,<15 min fix,0.08005331640388223,1,6
psf/requests,psf__requests-5414,<15 min fix,0.08879253556993479,1,7
pytest-dev/pytest,pytest-dev__pytest-7982,<15 min fix,0.09830194646300605,1,8
astropy/astropy,astropy__astropy-7166,<15 min fix,0.1300514671545071,1,9
scikit-learn/scikit-learn,scikit-learn__scikit-learn-14141,<15 min fix,0.18233363126633081,1,10
pylint-dev/pylint,pylint-dev__pylint-7277,<15 min fix,0.2696641816685305,1,11
django/django,django__django-14608,<15 min fix,0.014248645372069364,2,12
matplotlib/matplotlib,matplotlib__matplotlib-24570,<15 min fix,0.07409861781351809,2,13
sympy/sympy,sympy__sympy-15875,<15 min fix,0.0768473977975404,2,14
sphinx-doc/sphinx,sphinx-doc__sphinx-8621,<15 min fix,0.12945187188209134,2,15
scikit-learn/scikit-learn,scikit-learn__scikit-learn-13142,<15 min fix,0.18400227022586738,2,16
pytest-dev/pytest,pytest-dev__pytest-5262,<15 min fix,0.2215558874486351,2,17
pydata/xarray,pydata__xarray-4356,<15 min fix,0.28182344307478524,2,18
psf/requests,psf__requests-1142,<15 min fix,0.28206180975731854,2,19
pylint-dev/pylint,pylint-dev__pylint-6903,<15 min fix,0.3884894289629572,2,20
astropy/astropy,astropy__astropy-7336,<15 min fix,0.5874806773505438,2,21
django/django,django__django-11964,<15 min fix,0.02382569430188153,3,22
sympy/sympy,sympy__sympy-18189,<15 min fix,0.1060262002486254,3,23
matplotlib/matplotlib,matplotlib__matplotlib-25311,<15 min fix,0.18419550662147985,3,24
sphinx-doc/sphinx,sphinx-doc__sphinx-10435,<15 min fix,0.18487313154581092,3,25
sympy/sympy,sympy__sympy-13757,15 min - 1 hour,0.0016205148104463086,1,1
django/django,django__django-11734,15 min - 1 hour,0.006334068921571032,1,2
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25747,15 min - 1 hour,0.016403559734793613,1,3
pydata/xarray,pydata__xarray-4695,15 min - 1 hour,0.020198169400573337,1,4
matplotlib/matplotlib,matplotlib__matplotlib-23412,15 min - 1 hour,0.020746166799264807,1,5
pytest-dev/pytest,pytest-dev__pytest-7236,15 min - 1 hour,0.052394590880816494,1,6
sphinx-doc/sphinx,sphinx-doc__sphinx-8593,15 min - 1 hour,0.10460917942071538,1,7
astropy/astropy,astropy__astropy-7606,15 min - 1 hour,0.20393929404328098,1,8
mwaskom/seaborn,mwaskom__seaborn-3069,15 min - 1 hour,0.27103634099855745,1,9
pylint-dev/pylint,pylint-dev__pylint-4604,15 min - 1 hour,0.5638693297016042,1,10
psf/requests,psf__requests-6028,15 min - 1 hour,0.6089822158375574,1,11
sympy/sympy,sympy__sympy-19346,15 min - 1 hour,0.005955687818927106,2,12
django/django,django__django-12663,15 min - 1 hour,0.008784970425923057,2,13
scikit-learn/scikit-learn,scikit-learn__scikit-learn-26323,15 min - 1 hour,0.023028641024335873,2,14
matplotlib/matplotlib,matplotlib__matplotlib-21568,15 min - 1 hour,0.07411218494705554,2,15
pydata/xarray,pydata__xarray-6721,15 min - 1 hour,0.0815517138928559,2,16
pytest-dev/pytest,pytest-dev__pytest-8399,15 min - 1 hour,0.08567931868113611,2,17
sphinx-doc/sphinx,sphinx-doc__sphinx-8265,15 min - 1 hour,0.1580024606636879,2,18
astropy/astropy,astropy__astropy-14598,15 min - 1 hour,0.21954981432764176,2,19
pylint-dev/pylint,pylint-dev__pylint-4661,15 min - 1 hour,0.651850389606958,2,20
psf/requests,psf__requests-2931,15 min - 1 hour,0.686240541042134,2,21
mwaskom/seaborn,mwaskom__seaborn-3187,15 min - 1 hour,0.7206547223820301,2,22
django/django,django__django-16527,15 min - 1 hour,0.008815336643518567,3,23
sympy/sympy,sympy__sympy-16792,15 min - 1 hour,0.01980668953018418,3,24
scikit-learn/scikit-learn,scikit-learn__scikit-learn-10844,15 min - 1 hour,0.0643058890812452,3,25
matplotlib/matplotlib,matplotlib__matplotlib-20488,15 min - 1 hour,0.07429095113746458,3,26
pytest-dev/pytest,pytest-dev__pytest-7324,15 min - 1 hour,0.15831833364742426,3,27
sphinx-doc/sphinx,sphinx-doc__sphinx-8056,15 min - 1 hour,0.16068660834692186,3,28
pydata/xarray,pydata__xarray-6599,15 min - 1 hour,0.1744753724371602,3,29
astropy/astropy,astropy__astropy-13977,15 min - 1 hour,0.264184290164486,3,30
pylint-dev/pylint,pylint-dev__pylint-6386,15 min - 1 hour,0.6627458079368541,3,31
django/django,django__django-12273,15 min - 1 hour,0.012734228815090665,4,32
sympy/sympy,sympy__sympy-13091,15 min - 1 hour,0.02383600556259904,4,33
scikit-learn/scikit-learn,scikit-learn__scikit-learn-14087,15 min - 1 hour,0.1432733410453518,4,34
matplotlib/matplotlib,matplotlib__matplotlib-20826,15 min - 1 hour,0.1517583759264813,4,35
